zone_id,impact_mean,impact_max,impact_std,impact_count,priority,rank
Z-06-14,16.659676474893867,64.16914367675781,9.312529686500998,68310,VERY LOW,100
Z-14-01,16.55430058396113,78.65287780761719,22.825271784684276,44866,VERY LOW,101
Z-06-15,16.50694261455131,66.14522552490234,8.232332392713685,68310,VERY LOW,102
Z-12-16,16.361544911052786,77.14642333984375,13.95836627486939,68580,VERY LOW,103
Z-04-08,16.284179060950713,72.42831420898438,13.291660274857064,68580,VERY LOW,104
Z-14-02,15.999716366564193,63.23601531982422,17.81353773600206,68310,VERY LOW,105
Z-07-14,15.96457057451152,63.3125,9.093370232382108,68580,VERY LOW,106
Z-10-04,15.931399136290441,67.87883758544922,18.925475778640408,68310,VERY LOW,107
Z-10-16,15.893712487190749,64.38417053222656,11.95729007821668,68310,VERY LOW,108
Z-14-15,15.8192312803136,54.524261474609375,10.521010595277453,15051,VERY LOW,109
Z-07-15,15.813699329250511,78.80659484863281,9.453765194336427,68580,VERY LOW,110
Z-06-06,15.78986422192944,70.19658660888672,15.3231409993285,68310,VERY LOW,111
Z-06-17,15.443712487190748,65.69249725341797,7.929960316905607,68310,VERY LOW,112
Z-05-16,15.391553593490393,61.98567199707031,7.553196420917082,46946,VERY LOW,113
Z-11-04,15.229457619675012,64.23873901367188,19.109356030017377,68310,VERY LOW,114
Z-05-06,15.181565656565656,72.63615417480469,11.428909715810578,68310,VERY LOW,115
Z-01-06,15.055273038786819,71.57814025878906,9.368496970284271,68580,VERY LOW,116
Z-06-16,14.92377031181379,65.52825164794922,8.608039926986528,68310,VERY LOW,117
Z-03-05,14.752841824037477,65.88645935058594,10.5950908901602,68310,VERY LOW,118
Z-02-05,14.615914580588493,62.57406997680664,8.409783876960352,68310,VERY LOW,119
Z-17-07,14.569535939101156,67.10655975341797,17.066738973759026,68310,VERY LOW,120
Z-15-13,14.261021505376345,67.19869995117188,15.756374754989007,64635,VERY LOW,121
Z-06-13,13.81604267310789,71.10584259033203,14.513344923357973,68310,VERY LOW,122
Z-07-06,13.511872995042287,67.64319610595703,16.755695362546593,68580,VERY LOW,123
Z-14-17,13.403524789294924,50.7296142578125,9.804565273989523,15899,VERY LOW,124
Z-05-10,13.403444281005994,67.37348937988281,9.202293126625289,45209,VERY LOW,125
Z-10-14,13.155213365539453,82.77030944824219,17.756244000116343,68310,VERY LOW,126
Z-07-12,13.125326261300671,67.08235931396484,16.268072796772415,68580,VERY LOW,127
Z-15-11,12.965485564304462,78.02900695800781,16.03337248461266,68580,VERY LOW,128
Z-09-16,12.94335812190143,77.09158325195312,16.6344107701011,68580,VERY LOW,129
Z-13-15,12.867142438881569,72.97264862060547,13.820707485830367,68310,VERY LOW,130
Z-12-09,12.743827541621872,73.44671630859375,18.843381242434297,68834,VERY LOW,131
Z-10-05,12.401482213438735,82.43299865722656,23.93892527783028,68310,VERY LOW,132
Z-10-08,12.384564851412678,72.38958740234375,18.882313422678305,68310,VERY LOW,133
Z-10-15,12.29970172741912,79.86026000976562,11.051367348945051,68310,VERY LOW,134
Z-18-03,12.148892195767196,70.8176498413086,19.69757113449629,23436,VERY LOW,135
Z-06-07,12.115781913336262,73.32804107666016,16.680241194930716,68310,VERY LOW,136
Z-06-10,12.103516109271764,73.2071533203125,11.431566197659839,68563,VERY LOW,137
Z-08-16,12.034060715854194,80.70539855957031,20.261458094376337,68310,VERY LOW,138
Z-13-13,11.847555262772653,79.90132141113281,22.71776095288994,68310,VERY LOW,139
Z-12-14,11.6012941090697,85.34315490722656,22.179485166318123,68580,VERY LOW,140
Z-07-13,11.466538167104112,73.1556625366211,14.225864074674991,68580,VERY LOW,141
Z-14-03,11.386662823891085,64.33479309082031,15.743116008558644,68310,VERY LOW,142
Z-10-17,11.122389657444005,72.05581665039062,15.406770368172069,68310,VERY LOW,143
Z-06-09,11.04302065253854,80.11314392089844,17.39564091238862,68563,VERY LOW,144
Z-06-11,10.987351778656127,83.33041381835938,15.513709858752517,68310,VERY LOW,145
Z-11-15,10.910854926072318,87.45780944824219,15.93268515270607,68310,VERY LOW,146
Z-07-16,10.4608121901429,70.60871124267578,10.265582706797119,68580,VERY LOW,147
Z-12-02,10.183878317293672,68.7425765991211,15.013595909686709,68580,VERY LOW,148
Z-09-13,10.107745516185476,77.56700134277344,18.270525761755284,68580,VERY LOW,149
Z-12-06,9.745404090113736,58.848655700683594,16.387799539224616,68580,VERY LOW,150
Z-16-08,9.445064778216953,70.25076293945312,15.800995242252851,68310,VERY LOW,151
