ward_number_2017,zone,raw_coverage,flag_low_coverage
023N,N,1.000000439118642,False
038E,E,1.00000053249269,False
035S,S,1.0000009433599861,False
037S,S,1.0000010704735338,False
011S,S,1.0000038372559108,False
042N,N,1.0000042545486245,False
029S,S,1.0000047956748146,False
039E,E,1.0000056991414321,False
022S,S,1.0000066351919208,False
020N,N,1.0000122216596163,False
011N,N,1.0000130907877016,False
047E,E,1.000013573519915,False
040N,N,1.0000148222489569,False
007S,S,1.0000163763859526,False
023S,S,1.0000184114253028,False
026S,S,1.0000199669134004,False
013S,S,1.000037217165317,False
017S,S,1.0000456484695168,False
020S,S,1.0000512589456305,False
018S,S,1.0000529383779302,False
024N,N,1.000174325507152,False
045N,N,1.0002657566826105,False
016S,S,1.0002678896821064,False
