ward_number_2017,ward_number_2022,raw_weight,weight
021S,109,0.15299380124970868,0.15301276214085402
022E,204,0.04926570771754294,0.04926570771754186
022E,207,0.22288341825234728,0.22288341825234237
022E,208,0.27331254659532667,0.27331254659532067
022E,211,0.4545383274348051,0.4545383274347951
022N,8,0.12589779991567582,0.12589792626544788
022N,17,0.48157181819806066,0.48157230149871805
022N,18,0.3925293782972782,0.39252977223583396
022S,108,0.18642739922286722,0.18642616224950165
022S,109,0.13830966310607598,0.13830874540100593
022S,111,0.011443902921215162,0.011443826989226781
022S,112,0.6309036993997686,0.6308995132604154
022S,114,0.03292197054199368,0.03292175209985013
023E,208,0.34141923977136296,0.34141922182581086
023E,209,0.25140019382897255,0.2514001806149683
023E,211,0.36773829911928185,0.3677382797903571
023E,214,0.03944231984201628,0.03944231776886362
023N,18,0.041581850866008616,0.04158183260665076
023N,19,0.12201146586208,0.12201141228459435
023N,20,0.8262263429566525,0.8262259801454223
023N,54,0.010180779433900675,0.0101807749633326
023S,36,0.024416396583291318,0.024415947050905995
023S,108,0.013970451300342801,0.013970194089157863
023S,109,0.6328077088012055,0.6327960581238494
023S,111,0.0982966937961636,0.09829488404724832
023S,112,0.23052716094429965,0.23052291668883845
024E,209,0.20292818687080066,0.2029281869643406
024E,210,0.3631501150218264,0.36315011518922075
024E,211,0.433921697646422,0.4339216978464386
024N,21,0.8184669459672641,0.818324291170191
024N,29,0.13553830836900085,0.13551468470286349
024N,54,0.04616907117088697,0.04616102412694539
024S,110,0.053147951337633115,0.053147951337633156
024S,111,0.8806001951747305,0.8806001951747312
024S,112,0.04145047777658474,0.041450477776584775
024S,113,0.01133764931762198,0.01133764931762199
024S,128,0.013463726393428818,0.013463726393428828
025E,212,0.170465369213744,0.17046536922443523
025E,213,0.4453442426616347,0.44534424268956574
025E,225,0.11083174835900877,0.1108317483659599
025E,226,0.2733586397028947,0.27335863972003915
025N,21,0.10480574998996031,0.10480574320893804
025N,22,0.5467590199672884,0.546758984591509
025N,23,0.30455973915203605,0.30455971944675864
025N,28,0.016831433024097935,0.016831431935089725
025N,29,0.012647404335302152,0.0126474035170042
025N,54,0.014396718232180566,0.014396717300700499
025S,112,0.06808862268112402,0.06808862268112667
025S,113,0.7061027334709621,0.7061027334709895
025S,114,0.225808643847875,0.22580864384788377
026E,213,0.3409113942278541,0.34091415347024323
026E,214,0.03503008812209011,0.0350303716459197
026E,215,0.21069895937466399,0.21070066471367552
026E,224,0.39068449938752414,0.3906876614796388
026E,225,0.022666965230385118,0.022667148690522724
026N,23,0.08097383913451342,0.0809738136823201
026N,24,0.8709127439972996,0.8709124702466688
026N,25,0.02448585191086936,0.024485844214326338
026N,51,0.02362787928354446,0.023627871856684652
026S,108,0.07939943935407572,0.07939785402400024
026S,109,0.0036319572457061203,0.003631884728178272
026S,112,0.33928608818238626,0.3392793138217086
