ward_number,ward_name,worldcover_canopy_fraction,worldcover_built_fraction,cropland_fraction,worldcover_bare_or_other_fraction
97,CHAUKHANDI NAGAR,0.10018439646963241,0.868558762971367,0.011475471769394938,0.01978136878960575
98,SUBHASH NAGAR,0.1420010065507222,0.8325774807607568,0.012702143978092642,0.012719368710428128
99,HARI NAGAR,0.13145510880949593,0.8410522320909044,0.012885020614786108,0.014607638484813203
100,FATEH NAGAR,0.26859781088528567,0.6952380821235998,0.015386344847408438,0.02077776214370806
101,TILAK NAGAR,0.03945871045065813,0.9588779857242191,0.0007858459204090774,0.0008774579047134512
102,KHYALA,0.27457631668769544,0.6532214249463401,0.022169468211447243,0.05003279015451634
103,KESHOPUR,0.11987031677321423,0.8650987616769364,0.007489809038177761,0.007541112511671963
104,JANAK PURI SOUTH,0.18112774926743286,0.8070076502292286,0.0025612585030835022,0.009303342000254471
105,MAHAVEER ENCLAVE,0.00039923575712420394,0.9862934958210079,0.0,0.01330726842186796
106,JANAK PURI WEST,0.1459799741058282,0.84336288645393,0.0037268719978268325,0.006930267442414413
107,VIKAS PURI,0.19654994954591287,0.745996684445725,0.015263370332996956,0.04218999567536396
108,HASTSAL,0.1020725859311057,0.8329023759471019,0.012035746185273616,0.05298929193651917
109,VIKAS NAGAR,0.08615954066677452,0.8207991237484975,0.009173447817232897,0.08386788776749561
110,KUNWAR SINGH NAGAR,0.09736128472739444,0.30336279915119313,0.5341060859587228,0.06516983016269177
111,BAPROLA,0.11708828470304482,0.6870794421042076,0.09769975276570263,0.09813252042704405
112,SAINIK ENCLAVE,0.0587857750154549,0.8759614615128054,0.017345917752979667,0.047906845718760506
113,MOHAN GARDEN,0.11146243493472348,0.854251695893265,0.0038812421225796916,0.03040462704943237
114,NAWADA,0.004833092468430893,0.9693168825676114,0.0024165462342154464,0.023433478729742507
115,UTTAM NAGAR,0.0007031560819309966,0.9948485314267531,0.0,0.004448312491316001
116,BINDA PUR,0.015215742763848199,0.9708330880596135,0.0007946868518281284,0.013156482324710126
117,DABRI,0.010785859387852014,0.9752008371341044,0.00012887539038503683,0.013884428087658529
118,SAGARPUR,0.10716290348198484,0.872303741719784,0.004890690726517313,0.015642664071713826
119,MANGLAPURI,0.12099255898388778,0.8544158051042607,0.009509010214141474,0.01508262569770979
120,DWARKA-B,0.2263912752846759,0.5110470044768544,0.12038091740509314,0.1421808028333749
121,DWARKA-A,0.3037117702295899,0.5500082417823179,0.08460481303352771,0.06167517495456454
122,MATIALA,0.17073399404865788,0.7791642446367966,0.017595836656863144,0.03250592465768242
123,KAKROLA,0.10854824277389127,0.8088594778196398,0.010522487186031047,0.07206979222043891
124,NANGLI SAKRAWATI,0.09520907982040383,0.525289103712335,0.26309177601601,0.11641004045125077
125,CHHAWALA,0.0966910675659727,0.10131705883233019,0.7477149226954657,0.054276950906231074
126,ISAPUR,0.047455912686405276,0.11278923332840991,0.8106645887366429,0.029090265248543537
127,NAJAFGARH,0.07003140331482526,0.31680819426778556,0.5596312283587844,0.05352917405860566
128,DICHAON KALAN,0.047756567033447946,0.331810443875489,0.5658270579831294,0.054605931107932784
129,ROSHAN PURA,0.09526480957316165,0.752304513763549,0.10718813629176183,0.04524254037152761
130,DWARKA-C,0.2578069623047109,0.323192170489991,0.22815518910145993,0.19084567810383649
131,BIJWASAN,0.40792428517444734,0.33058049415701046,0.1994788334632929,0.06201638720524975
132,KAPASHERA,0.30395507602535327,0.571611996568539,0.09723991524549137,0.027193012160616457
133,MAHIPALPUR,0.17190530802051265,0.5813079065713348,0.07038054005844409,0.17640624534970487
134,RAJ NAGAR,0.015935179434674086,0.9756211551855253,0.002258252692334283,0.006185412687466399
135,PALAM,0.09708546527767223,0.8675888716024733,0.021776942173842784,0.013548720946011769
136,MADHU VIHAR,0.057801457244610485,0.9086677146844464,0.01635087910815504,0.017179948962788277
137,MAHAVIR ENCLAVE,0.02770528357927354,0.946080518080258,0.0002665452056749041,0.02594765313479373
138,SADH NAGAR,0.015343408948060093,0.9815603394091765,9.106622478715495e-05,0.0030051854179761134
139,NARAINA,0.12125518717622506,0.8688793852509191,0.003228254818105157,0.006637172754750639
140,INDER PURI,0.2488507171043792,0.4722766534326527,0.1977671236380636,0.08110550582490583
141,RAJINDER NAGAR,0.5667055670023319,0.3323452731821086,0.01161020506967264,0.08933895474588704
142,DARYAGANJ,0.4545729909475411,0.39630642246656084,0.06372867500171078,0.08539191158418737
143,SIDHARTHA NAGAR,0.2806919139843949,0.4563346748092782,0.12726985438315908,0.13570355682316826
144,LAJPAT NAGAR,0.3101751822507761,0.6757835666297429,0.0005320302186209528,0.013509220900859287
145,ANDREWS GANJ,0.2832372988275839,0.6847922885189409,0.0074152998738345015,0.02455511277964118
146,AMAR COLONY,0.20199725425445392,0.7896031860312704,0.0014871515521293795,0.006912408162143102
147,KOTLA MUBARAKPUR,0.17173970780149234,0.8154379421568635,0.0007579149568466145,0.012064435084796234
148,HAUZ KHAS,0.5480248172125872,0.4364862783630674,0.002809115153048133,0.012679789271297502
149,MALVIYA NAGAR,0.33554944012011595,0.6490265817646438,0.0044958166298295025,0.010928161485410991
150,GREEN PARK,0.4947459446623896,0.489992529966707,0.0005045982754611882,0.014756927095443286
151,MUNIRKA,0.35564265960945435,0.6344091216066332,0.0043457348629906915,0.005602483920921852
152,R.K. PURAM,0.4535608457719302,0.5351963788438634,0.0011065723803352625,0.010136203003871004
153,VASANT VIHAR,0.49198896790721425,0.4200614565126082,0.019129750841614675,0.0688198247385634
154,LADO SARAI,0.6636348175134574,0.26736312597733725,0.012094145894083195,0.05690791061512276
155,MEHRAULI,0.6159623702093115,0.35805501036665766,0.007935783432988798,0.018046835991042776
156,VASANT KUNJ,0.4675729795524585,0.2487906707518637,0.13449205673609263,0.1491442929595853
157,AYA NAGAR,0.3068415439427983,0.25532654887528383,0.12157239349579838,0.31625951368611804
158,BHATI,0.3245293280483924,0.148234784268369,0.16572013782766976,0.36151574985556917
159,CHHATARPUR,0.5318253653311082,0.3210577760016975,0.09050401309968915,0.05661284556750526
160,SAID-UL-AJAIB,0.3578779198452568,0.2264423193100042,0.1097744885048435,0.30590527233989806
